epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,530.301,1.92654,1.69685,1.66254,0.86013,0.58577,0.6071,0.38146,2.7216,2.69056,2.38625,0.000731076,0.000731076,0.000731076
76,537.157,1.90656,1.69007,1.62866,0.63768,0.6028,0.59811,0.36832,2.73503,2.66313,2.39872,0.000721645,0.000721645,0.000721645
77,544.208,1.90075,1.73644,1.68228,0.60398,0.58342,0.58986,0.36149,2.70651,2.67127,2.38354,0.000712214,0.000712214,0.000712214
78,551.269,1.92931,1.68237,1.63054,0.64669,0.58666,0.59762,0.39894,2.78199,2.64414,2.3554,0.000702782,0.000702782,0.000702782
79,558.609,1.88865,1.634,1.62604,0.63969,0.59063,0.5889,0.42183,2.83006,2.73884,2.40772,0.000693351,0.000693351,0.000693351
80,565.577,1.89998,1.60936,1.64376,0.70019,0.54336,0.6004,0.38045,2.90382,2.78789,2.49879,0.000683919,0.000683919,0.000683919
81,572.933,1.85699,1.58133,1.59724,0.65316,0.58053,0.5973,0.38321,2.81027,2.70505,2.48083,0.000674488,0.000674488,0.000674488
82,580.115,1.83073,1.58162,1.61431,0.65461,0.60036,0.62348,0.40005,2.85001,2.64484,2.52044,0.000665057,0.000665057,0.000665057
83,587.044,1.8339,1.56336,1.6005,0.62063,0.60766,0.59559,0.39411,2.88409,2.6916,2.48985,0.000655625,0.000655625,0.000655625
84,594.399,1.85607,1.57706,1.59737,0.5645,0.61253,0.60395,0.38059,2.77703,2.7562,2.39047,0.000646194,0.000646194,0.000646194
85,601.23,1.8364,1.58517,1.59585,0.62413,0.58577,0.61545,0.40479,2.78569,2.7546,2.4903,0.000636762,0.000636762,0.000636762
86,608.262,1.77273,1.52352,1.58576,0.68818,0.62743,0.64155,0.40133,2.80867,2.76445,2.45896,0.000627331,0.000627331,0.000627331
87,615.14,1.79036,1.48555,1.54533,0.68306,0.58577,0.60609,0.40248,2.82456,2.80496,2.43951,0.0006179,0.0006179,0.0006179
88,622.085,1.75792,1.50027,1.5784,0.94648,0.58333,0.60808,0.40762,2.80032,2.76139,2.50643,0.000608468,0.000608468,0.000608468
89,629.059,1.70325,1.45313,1.52301,0.63277,0.58577,0.59356,0.38741,2.89589,2.72966,2.6055,0.000599037,0.000599037,0.000599037
90,635.907,1.72484,1.41352,1.53355,0.59198,0.58333,0.58091,0.36979,2.94287,2.80046,2.61003,0.000589605,0.000589605,0.000589605
91,642.948,1.75482,1.45944,1.5598,0.66213,0.58867,0.5797,0.37123,2.92112,2.71602,2.61576,0.000580174,0.000580174,0.000580174
92,649.923,1.71534,1.45406,1.53308,0.61018,0.58365,0.57916,0.40741,2.87917,2.64547,2.57778,0.000570743,0.000570743,0.000570743
93,657.092,1.72606,1.42888,1.55164,0.58504,0.6174,0.60258,0.42699,2.87324,2.69388,2.57809,0.000561311,0.000561311,0.000561311
94,664.463,1.75902,1.43483,1.55345,0.61431,0.60766,0.5992,0.39515,2.91631,2.73498,2.59507,0.00055188,0.00055188,0.00055188
95,671.462,1.66454,1.3769,1.50051,0.6056,0.61496,0.60511,0.38961,2.97807,2.74723,2.63787,0.000542448,0.000542448,0.000542448
96,678.286,1.72671,1.38644,1.51237,0.64555,0.5913,0.57668,0.35518,2.94632,2.86113,2.61836,0.000533017,0.000533017,0.000533017
97,685.383,1.66737,1.395,1.50062,0.6535,0.59745,0.58485,0.35831,2.87679,2.76812,2.63806,0.000523586,0.000523586,0.000523586
98,691.984,1.66948,1.36868,1.50024,0.69788,0.60523,0.58638,0.355,2.89273,2.77728,2.63608,0.000514154,0.000514154,0.000514154
99,698.945,1.65814,1.31602,1.46595,0.67226,0.58927,0.57982,0.3626,2.96016,2.75312,2.69673,0.000504723,0.000504723,0.000504723
100,705.916,1.65345,1.31837,1.48684,0.56912,0.6101,0.59662,0.38216,2.99901,2.76302,2.74076,0.000495291,0.000495291,0.000495291
101,712.768,1.62828,1.34072,1.50615,0.61179,0.58333,0.60136,0.36792,2.96345,2.842,2.67098,0.00048586,0.00048586,0.00048586
102,719.66,1.61396,1.25479,1.44468,0.59793,0.6101,0.60359,0.37491,3.03999,2.81724,2.75107,0.000476429,0.000476429,0.000476429
103,726.585,1.60747,1.28935,1.45988,0.62359,0.58708,0.5865,0.37786,3.01405,2.86487,2.68737,0.000466997,0.000466997,0.000466997
104,733.515,1.60728,1.25753,1.45832,0.59249,0.61253,0.58264,0.37495,2.98378,2.76881,2.71705,0.000457566,0.000457566,0.000457566
105,740.535,1.60195,1.23151,1.43837,0.66027,0.59063,0.59665,0.3878,2.97167,2.82401,2.66054,0.000448134,0.000448134,0.000448134
106,747.358,1.53036,1.21464,1.42936,0.6914,0.59063,0.58888,0.40341,2.94175,2.84945,2.65773,0.000438703,0.000438703,0.000438703
107,754.438,1.55706,1.21252,1.42583,0.65903,0.59003,0.58006,0.39655,3.04493,2.85685,2.80151,0.000429272,0.000429272,0.000429272
108,761.567,1.52183,1.19772,1.39451,0.63753,0.5882,0.58609,0.38899,3.05643,2.89327,2.79273,0.00041984,0.00041984,0.00041984
109,768.715,1.51036,1.15888,1.40865,0.72047,0.59187,0.59257,0.40353,3.07647,2.87704,2.82795,0.000410409,0.000410409,0.000410409
110,775.883,1.49327,1.17987,1.39074,0.7128,0.59793,0.60218,0.40128,3.08049,2.82893,2.81898,0.000400977,0.000400977,0.000400977
111,782.737,1.50924,1.14738,1.40021,0.69623,0.59063,0.59881,0.39679,3.09322,2.86846,2.75142,0.000391546,0.000391546,0.000391546
